model Id,total params,file size,flops,params from profile,metric,graph size
0,80720,332.093,15243510,80720,0.6296,80982
1,11529354,46186.882,667985920,11529354,0.8884,11536266
2,6974346,28502.571,273725152,6974346,0.86,7057994
3,18083466,72403.933,777037824,18083466,0.8932,18090378
4,11530378,46196.086,668018688,11530378,0.8932,11538314
5,18083594,72405.961,777299968,18083594,0.9152,18090634
6,18173962,72768.336,792246272,18173962,0.896,18180874
7,18493322,74045.472,886351872,18493322,0.9088,18500362
8,18083594,72406.274,777332736,18083594,0.9132,18090634
9,18083594,72406.274,777365504,18083594,0.9076,18090634
10,18133066,72604.959,844736512,18133066,0.908,18140234
11,18227658,72985.233,792112128,18227658,0.912,18234698
12,18862730,75524.659,1114023936,18862730,0.9096,18870154
13,18165770,72735.494,878422016,18165770,0.9196,18172938
14,18706954,74901.828,800894976,18706954,0.9044,18713994
15,25052234,100283.503,1365944320,25052234,0.9192,25059786
16,24884234,99610.994,1189586944,24884234,0.924,24891658
17,18276682,73180.481,1004857344,18276682,0.9172,18284106
18,25245450,101058.283,1204793344,25245450,0.9136,25252874
