model Id,total params,file size,flops,params from profile,metric,graph size
0,22098,118.469,39356280.0,22098.0,0.6284,299986
1,22098,118.469,39356280.0,22098.0,0.6548,299986
2,24114,127.045,43157368.0,24114.0,0.6684,329490
3,255090,1051.28,289015680.0,255090.0,0.7968000000000001,533042
4,61042,275.342,85100408.0,61042.0,0.6984,366418
5,260082,1071.76,297600896.0,260082.0,0.7904,538162
6,264162,1089.896,306120576.0,264162.0,0.8019999999999999,1101266
7,261378,1076.816,301795200.0,261378.0,0.804,539426
8,273450,1127.24,325093248.0,273450.0,0.8084,1110602
9,273906,1129.256,325977984.0,273906.0,0.8024000000000001,1111106
10,506826,2062.28,575473536.0,506826.0,0.8155999999999999,1592330
11,506250,2058.44,575276928.0,506250.0,0.8128,1343402
12,525402,2136.968,613418880.0,525402.0,0.8236000000000001,1611002
13,970026,3915.08,1071024000.0,970026.0,0.8287999999999999,2055530
14,992154,4007.071,1114179456.0,992154.0,0.8328,3072122
15,1897578,7628.383,2062518144.0,1897578.0,0.8392,3977450
16,997146,4027.551,1122764672.0,997146.0,0.834,3077242
17,1916154,7703.071,2100463488.0,1916154.0,0.8480000000000001,3996122
18,3745578,15020.388,4035086080.0,3745578.0,0.8436,5825450
19,3764154,15095.076,4073031424.0,3764154.0,0.8539999999999999,5844122
20,1955034,7863.199,2177140480.0,1955034.0,0.8479999999999999,6273050
21,3767194,15107.748,4078929664.0,3767194.0,0.8544,5874650
22,4510938,18082.803,4922378240.0,4510938.0,0.8428000000000001,6590906
