model Id,total params,file size,flops,params from profile,metric,graph size
0,21082,110.337,37357432.0,21082.0,0.6584000000000001,298890
1,21082,110.337,37357432.0,21082.0,0.6472,298890
2,23066,118.529,40601464.0,23066.0,0.6932,300938
3,36162,171.434,59737976.0,36162.0,0.7468,314018
4,23066,118.836,40626040.0,23066.0,0.7087999999999999,300938
5,46434,212.522,72320888.0,46434.0,0.7508000000000001,324290
6,46338,212.394,71370616.0,46338.0,0.746,324258
7,48530,221.034,76580728.0,48530.0,0.7491999999999999,326418
8,51714,235.178,82151288.0,51714.0,0.7647999999999999,577922
9,58962,264.962,96503672.0,58962.0,0.7504,895970
10,63378,282.218,105940856.0,63378.0,0.766,589682
11,62274,280.514,101812088.0,62274.0,0.7524000000000001,1582850
12,67010,296.874,113346424.0,67010.0,0.7692,593346
13,82818,362.306,144279424.0,82818.0,0.7688,1168274
14,70562,311.594,120293240.0,70562.0,0.7939999999999999,624386
15,80642,354.498,139298688.0,80642.0,0.7752000000000001,1601346
16,90002,391.682,158631792.0,90002.0,0.7952,1202978
17,78850,345.002,137201536.0,78850.0,0.7916000000000001,632738
18,127154,541.058,234522480.0,127154.0,0.7924,1240322
19,101594,438.242,182323056.0,101594.0,0.8012,1214618
20,112594,482.05,187991920.0,112594.0,0.7928000000000001,1225570
21,147386,626.018,273155968.0,147386.0,0.7891999999999999,3498458
22,124186,528.61,211683184.0,124186.0,0.7988,1237210
23,108698,467.682,196216688.0,108698.0,0.8008000000000001,1331994
24,101594,438.549,182421360.0,101594.0,0.8084,1214618
25,124778,531.362,229705584.0,124778.0,0.7971999999999999,1237898
26,124186,528.917,211781488.0,124186.0,0.8024000000000001,1237210
27,120986,516.373,204539760.0,120986.0,0.8052000000000001,1234074
28,108698,467.989,196314992.0,108698.0,0.8176,1331994
29,119834,514.605,217810800.0,119834.0,0.8151999999999999,2227226
30,145850,617.365,272304000.0,145850.0,0.8356,1369338
31,135386,574.741,234063728.0,135386.0,0.8264000000000001,1358682
32,155098,654.942,282789760.0,155098.0,0.8488,1378586
33,219290,915.735,419760000.0,219290.0,0.8308,3680826
34,169306,713.846,310577024.0,169306.0,0.8464,1834522
35,165274,695.902,294389632.0,165274.0,0.8539999999999999,1388826
36,181786,761.694,320538496.0,181786.0,0.8423999999999999,1405274
37,165274,696.209,294487936.0,165274.0,0.8544,1388826
38,202170,843.486,336365440.0,202170.0,0.8475999999999999,1425722
