model Id,total params,file size,flops,params from profile,metric,graph size
0,80720,332.093,15243510,80720,0.642,80982
3,80848,334.1,15309046,80848,0.6316,81238
4,80848,334.1,15505654,80848,0.638,81238
5,85072,351.313,15794486,85072,0.6228,85334
6,126544,519.21,19247414,126544,0.652,127062
7,80976,334.621,15344118,80976,0.6168,81238
8,126544,519.517,19251510,126544,0.6812,127062
9,126672,521.217,19312950,126672,0.6416,127318
10,126544,519.824,19317046,126544,0.6656,127062
11,126544,519.824,19254582,126544,0.6832,127062
12,127056,523.377,19302774,127056,0.6848,127574
13,126800,522.659,19281270,126800,0.6676,127318
14,127056,523.684,19368310,127056,0.7,127574
15,127184,525.691,19327350,127184,0.692,127830
16,127056,523.991,19371382,127056,0.6972,127574
17,127184,525.691,19433846,127184,0.7048,127830
18,127068,524.315,19386742,127068,0.6992,127586
19,127312,528.005,19446134,127312,0.702,128086
20,127184,525.998,19434870,127184,0.7116,127830
21,127440,529.705,19712374,127440,0.7088,128342
22,127440,529.14,19443078,127440,0.7272,128086
23,127458,530.188,19566198,127458,0.7088,128110
24,127696,532.171,19475846,127696,0.7224,128598
25,127440,529.447,19508614,127440,0.714,128086
26,127680,531.266,19701126,127680,0.7276,128326
27,127524,530.366,19543430,127524,0.7024,128170
28,127680,531.573,19702150,127680,0.7284,128326
29,128307,533.799,20022726,128307,0.7252,128959
30,127808,533.58,19706246,127808,0.7368,128582
31,128307,534.106,20023750,128307,0.7324,128959
32,128064,536.415,19732934,128064,0.7308,128838
33,127820,534.211,19724678,127820,0.7352,128594
34,130124,542.845,21750230,130124,0.7272,130898
35,128435,536.113,20027846,128435,0.7408,129215
36,127936,535.587,19771782,127936,0.7324,128838
37,128435,536.42,20036038,128435,0.73,129215
38,128435,536.42,20031942,128435,0.7272,129215
39,129689,541.177,20671046,129689,0.7252,130481
40,128563,538.12,20289990,128563,0.7304,129471
41,128883,539.103,20820422,128883,0.7352,129663
42,128477,536.864,20101574,128477,0.7412,129257
43,128563,538.12,20093382,128563,0.7264,129471
44,128605,538.871,20105670,128605,0.7344,129513
45,129383,541.072,21060038,129383,0.7376,130163
46,128605,538.871,20117958,128605,0.7276,129513
47,128477,537.171,20117958,128477,0.7232,129257
48,128477,537.171,20117958,128477,0.7352,129257
49,128537,537.104,20212166,128537,0.7228,129317
50,128925,540.161,20302790,128925,0.7344,129705
51,128605,538.871,20363718,128605,0.7444,129513
52,128477,537.171,20117958,128477,0.7368,129257
53,128733,540.878,20367814,128733,0.7316,129769
54,128665,539.111,20474310,128665,0.7364,129573
55,129877,544.007,21043782,129877,0.7364,130797
56,128647,539.622,20437446,128647,0.73,129555
57,129511,543.079,21322182,129511,0.738,130419
58,129501,544.267,20466246,129501,0.7436,130409
