net,num of parameters,flops,metric
MobileNetV2,2296922,98067448,0.9443
VGG,20040522,443957248,0.9264
PreActResNet18,11171146,557623296,0.9511
ResNet18,11173962,557885440,0.9302
GoogLeNet,6166250,2121105408,
DenseNet121,6956298,907776000,0.9504
ResNeXt29_2x64d,9128778,1423790080,0.9482
DPN92,34236634,2065334272,0.9516

best autokeras,24884234,1189586944,0.924
smallest autokeras,80720,15243510,0.6296
second small autokeras,6974346,273725152,0.86

https://github.com/kuangliu/pytorch-cifar,לפי מימושים בלינק:
